length,metric,greedy_mean,top_p_mean,diff_topp_minus_greedy,ci_lower_95,ci_upper_95,significant
50,rep3,0.26145833333333335,0.007986111111111112,-0.2534722222222222,-0.3482638888888889,-0.160060763888889,True
50,distinct2,0.6989795918367347,0.9731292517006803,0.2741496598639455,0.1816326530612245,0.37075680272108835,True
100,rep3,0.4540816326530612,0.02397959183673469,-0.4301020408163265,-0.5501743197278912,-0.3067984693877551,True
100,distinct2,0.5106060606060607,0.9434410774410773,0.4328350168350169,0.3138112794612794,0.5500001683501684,True
200,rep3,0.6676767676767675,0.02997380304102993,-0.6377029646357377,-0.7317047873150814,-0.5337601333851334,True
200,distinct2,0.3057788944723618,0.9239325263888137,0.6181536319164519,0.519746836948704,0.7037167372342913,True
