global_idx,theme,length,strategy,rep3,distinct2
11,Science,50,top_p_avg,0.0,0.9795918367346937
11,Science,100,top_p_avg,0.006802721088435374,0.9730639730639731
11,Science,200,top_p_avg,0.01346801346801347,0.9463986599664992
12,History,50,top_p_avg,0.0,0.9659863945578232
12,History,100,top_p_avg,0.006802721088435374,0.9595959595959597
12,History,200,top_p_avg,0.006734006734006735,0.9661661722265947
13,History,50,top_p_avg,0.0,0.9795918367346937
13,History,100,top_p_avg,0.017006802721088437,0.9393939393939394
13,History,200,top_p_avg,0.030303030303030304,0.9078726968174204
14,History,50,top_p_avg,0.0,1.0
14,History,100,top_p_avg,0.0,0.98989898989899
14,History,200,top_p_avg,0.0016835016835016836,0.9782244556113904
15,History,50,top_p_avg,0.0,0.9863945578231292
15,History,100,top_p_avg,0.003401360544217687,0.9797979797979798
15,History,200,top_p_avg,0.016835016835016835,0.9363484087102177
16,Opinion,50,top_p_avg,0.0,1.0
16,Opinion,100,top_p_avg,0.034013605442176874,0.936026936026936
16,Opinion,200,top_p_avg,0.03276353276353276,0.9276750986571275
17,Opinion,50,top_p_avg,0.0,0.9863945578231292
17,Opinion,100,top_p_avg,0.0,0.9831649831649831
17,Opinion,200,top_p_avg,0.010101010101010102,0.9564150719929615
18,Opinion,50,top_p_avg,0.006944444444444444,0.9795918367346937
18,Opinion,100,top_p_avg,0.01020408163265306,0.9528619528619529
18,Opinion,200,top_p_avg,0.021885521885521887,0.9380234505862646
19,Opinion,50,top_p_avg,0.0,0.9863945578231292
19,Opinion,100,top_p_avg,0.003401360544217687,0.9730639730639731
19,Opinion,200,top_p_avg,0.008417508417508419,0.9564489112227806
